Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
est72010,"July 1, 2010",totsex,Both Sexes,nhisp,Not Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",25384,18289,5961,607,182,5,340
est72010,"July 1, 2010",totsex,Both Sexes,tothisp,Total,0500000US22003,22003,"Allen Parish, Louisiana",25743,18553,6002,642,182,8,356
est72011,"July 1, 2011",female,Female,hisp,Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",185,136,22,12,0,3,12
est72011,"July 1, 2011",female,Female,nhisp,Not Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",11031,8336,2089,332,84,2,188
est72011,"July 1, 2011",female,Female,tothisp,Total,0500000US22003,22003,"Allen Parish, Louisiana",11216,8472,2111,344,84,5,200
est72011,"July 1, 2011",male,Male,hisp,Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",238,176,28,26,2,1,5
est72011,"July 1, 2011",male,Male,nhisp,Not Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",14296,9879,3856,281,97,3,180
est72011,"July 1, 2011",male,Male,tothisp,Total,0500000US22003,22003,"Allen Parish, Louisiana",14534,10055,3884,307,99,4,185
est72011,"July 1, 2011",totsex,Both Sexes,hisp,Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",423,312,50,38,2,4,17
est72011,"July 1, 2011",totsex,Both Sexes,nhisp,Not Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",25327,18215,5945,613,181,5,368
est72011,"July 1, 2011",totsex,Both Sexes,tothisp,Total,0500000US22003,22003,"Allen Parish, Louisiana",25750,18527,5995,651,183,9,385
est72012,"July 1, 2012",female,Female,hisp,Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",188,138,23,12,0,4,11
est72012,"July 1, 2012",female,Female,nhisp,Not Hispanic,0500000US22003,22003,"Allen Parish, Louisiana",10939,8279,2050,325,82,2,201
