geoid,name,B02001001 - Total:,"B02001001 - Total:, Error",B02001002 - White alone,"B02001002 - White alone, Error",B02001003 - Black or African American alone,"B02001003 - Black or African American alone, Error",B02001004 - American Indian and Alaska Native alone,"B02001004 - American Indian and Alaska Native alone, Error",B02001005 - Asian alone,"B02001005 - Asian alone, Error",B02001006 - Native Hawaiian and Other Pacific Islander alone,"B02001006 - Native Hawaiian and Other Pacific Islander alone, Error",B02001007 - Some other race alone,"B02001007 - Some other race alone, Error",B02001008 - Two or more races:,"B02001008 - Two or more races:, Error",B02001009 - Two races including Some other race,"B02001009 - Two races including Some other race, Error","B02001010 - Two races excluding Some other race, and three or more races","B02001010 - Two races excluding Some other race, and three or more races, Error"
14000US22103041208,"Census Tract 412.08, St. Tammany, LA",4260,272,4083,274,0,12,0,12,144,110,0,12,26,39,7,11,0,12,7,11
14000US22103041209,"Census Tract 412.09, St. Tammany, LA",5145,380,4703,377,308,216,10,19,124,137,0,17,0,17,0,17,0,17,0,17
14000US22103041210,"Census Tract 412.10, St. Tammany, LA",2556,274,2294,294,179,172,0,12,52,58,0,12,0,12,31,44,0,12,31,44
14000US22103041211,"Census Tract 412.11, St. Tammany, LA",6296,476,5882,409,107,151,0,17,168,147,0,17,129,176,10,17,0,17,10,17
14000US22103041212,"Census Tract 412.12, St. Tammany, LA",3681,214,3504,212,115,65,0,12,33,39,0,12,29,44,0,12,0,12,0,12
14000US22103041300,"Census Tract 413, St. Tammany, LA",6102,423,5117,468,528,297,0,17,153,155,0,17,189,238,115,73,19,32,96,70
14000US22103990000,"Census Tract 9900, St. Tammany, LA",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22105953500,"Census Tract 9535, Tangipahoa, LA",7786,753,6236,661,1216,411,144,154,0,17,0,17,39,67,151,110,18,28,133,108
14000US22105953700,"Census Tract 9537, Tangipahoa, LA",10361,695,9484,690,466,299,118,140,57,77,0,19,36,57,200,138,42,51,158,113
14000US22105954600,"Census Tract 9546, Tangipahoa, LA",10747,812,9654,828,994,321,0,19,0,19,0,19,30,50,69,72,0,19,69,72
14000US22105954700,"Census Tract 9547, Tangipahoa, LA",4798,493,3925,520,773,270,0,12,0,12,0,12,12,18,88,72,0,12,88,72
14000US22105954800,"Census Tract 9548, Tangipahoa, LA",5021,594,4108,530,688,247,19,32,0,17,11,17,81,106,114,131,0,17,114,131
14000US22117950500,"Census Tract 9505, Washington, LA",5993,626,5409,688,560,350,0,17,14,26,0,17,0,17,10,18,0,17,10,18
14000US22117950600,"Census Tract 9506, Washington, LA",4429,550,4084,511,220,104,26,50,0,12,0,12,23,29,76,109,0,12,76,109
14000US22117951000,"Census Tract 9510, Washington, LA",3226,404,1708,300,1455,321,18,27,0,12,0,12,45,68,0,12,0,12,0,12
14000US28045030400,"Census Tract 304, Hancock, MS",2225,383,1351,281,848,336,0,12,0,12,0,12,0,12,26,30,0,12,26,30
14000US28045030602,"Census Tract 306.02, Hancock, MS",6280,694,5469,794,175,152,52,81,0,17,0,17,376,371,208,203,0,17,208,203
14000US28045990000,"Census Tract 9900, Hancock, MS",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US28047990000,"Census Tract 9900, Harrison, MS",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US28109950401,"Census Tract 9504.01, Pearl River, MS",6798,566,5998,562,640,317,0,17,43,72,0,17,0,17,117,115,0,17,117,115
14000US28109950700,"Census Tract 9507, Pearl River, MS",7805,698,5049,726,2558,384,0,17,167,141,0,17,0,17,31,37,0,17,31,37
31000US35380,"New Orleans-Metairie, LA Metro Area",1209239,0,706845,2048,418024,1265,5348,701,33800,579,644,264,25744,2048,18834,1139,2617,532,16217,984
