geoid,name,B02001001 - Total:,"B02001001 - Total:, Error",B02001002 - White alone,"B02001002 - White alone, Error",B02001003 - Black or African American alone,"B02001003 - Black or African American alone, Error",B02001004 - American Indian and Alaska Native alone,"B02001004 - American Indian and Alaska Native alone, Error",B02001005 - Asian alone,"B02001005 - Asian alone, Error",B02001006 - Native Hawaiian and Other Pacific Islander alone,"B02001006 - Native Hawaiian and Other Pacific Islander alone, Error",B02001007 - Some other race alone,"B02001007 - Some other race alone, Error",B02001008 - Two or more races:,"B02001008 - Two or more races:, Error",B02001009 - Two races including Some other race,"B02001009 - Two races including Some other race, Error","B02001010 - Two races excluding Some other race, and three or more races","B02001010 - Two races excluding Some other race, and three or more races, Error"
14000US22071010600,"Census Tract 106, Orleans, LA",1232,198,680,137,418,180,0,12,0,12,0,12,7,11,127,126,0,12,127,126
14000US22071010700,"Census Tract 107, Orleans, LA",1664,168,1276,174,252,121,0,12,56,45,0,12,6,9,74,103,0,12,74,103
14000US22071010800,"Census Tract 108, Orleans, LA",1411,194,1318,203,63,50,30,41,0,12,0,12,0,12,0,12,0,12,0,12
14000US22071010900,"Census Tract 109, Orleans, LA",3483,452,1848,243,1406,448,158,243,33,35,0,12,13,20,25,38,0,12,25,38
14000US22071011100,"Census Tract 111, Orleans, LA",1673,222,374,140,1218,206,30,53,0,12,0,12,34,39,17,17,10,14,7,10
14000US22071011200,"Census Tract 112, Orleans, LA",1500,166,902,149,449,137,20,22,38,30,0,12,68,71,23,21,0,12,23,21
14000US22071011400,"Census Tract 114, Orleans, LA",1825,188,1623,213,108,124,0,12,58,83,0,12,9,13,27,33,0,12,27,33
14000US22071011500,"Census Tract 115, Orleans, LA",1315,240,1195,185,77,118,8,17,11,25,0,12,0,12,24,27,0,12,24,27
14000US22071011600,"Census Tract 116, Orleans, LA",1520,119,1417,128,28,38,0,12,40,37,11,17,0,12,24,32,0,12,24,32
14000US22071011700,"Census Tract 117, Orleans, LA",2618,252,2489,226,0,12,0,12,54,46,0,12,0,12,75,95,0,12,75,95
14000US22071011900,"Census Tract 119, Orleans, LA",1727,198,1595,204,53,42,0,12,55,43,0,12,19,20,5,8,5,8,0,12
14000US22071012000,"Census Tract 120, Orleans, LA",1485,122,1358,128,103,85,15,29,2,6,0,12,7,10,0,12,0,12,0,12
14000US22071012101,"Census Tract 121.01, Orleans, LA",2983,399,2373,349,210,124,0,12,303,122,0,12,5,8,92,59,0,12,92,59
14000US22071012102,"Census Tract 121.02, Orleans, LA",4087,522,3145,498,558,199,13,18,147,67,0,12,27,36,197,128,111,93,86,88
14000US22071012200,"Census Tract 122, Orleans, LA",2128,220,1637,271,205,107,1,5,220,231,0,12,48,71,17,18,0,12,17,18
14000US22071012300,"Census Tract 123, Orleans, LA",1956,251,964,147,868,144,0,12,0,12,0,12,29,33,95,121,0,12,95,121
14000US22071012400,"Census Tract 124, Orleans, LA",1827,284,868,138,929,244,0,12,5,8,0,12,13,18,12,18,0,12,12,18
14000US22071012500,"Census Tract 125, Orleans, LA",1539,188,1009,157,369,153,6,8,124,63,0,12,0,12,31,27,0,12,31,27
14000US22071012600,"Census Tract 126, Orleans, LA",1910,168,1586,195,126,65,8,14,158,108,0,12,0,12,32,25,0,12,32,25
14000US22071012700,"Census Tract 127, Orleans, LA",2238,311,1565,209,636,255,0,12,0,12,0,12,8,22,29,35,0,12,29,35
14000US22071012800,"Census Tract 128, Orleans, LA",2333,326,1634,287,483,226,16,25,141,84,0,12,26,27,33,34,33,34,0,12
14000US22071012900,"Census Tract 129, Orleans, LA",1361,173,867,113,384,152,0,12,61,58,0,12,16,16,33,28,0,12,33,28
14000US22071013000,"Census Tract 130, Orleans, LA",1812,315,759,158,1044,319,0,12,0,12,0,12,9,15,0,12,0,12,0,12
14000US22071013100,"Census Tract 131, Orleans, LA",1438,313,205,147,1228,260,0,12,0,12,0,12,0,12,5,7,0,12,5,7
14000US22071013200,"Census Tract 132, Orleans, LA",2272,326,923,214,1314,293,0,12,0,12,0,12,35,42,0,12,0,12,0,12
14000US22071013301,"Census Tract 133.01, Orleans, LA",3755,471,3557,480,62,73,0,12,70,77,0,12,33,49,33,31,13,21,20,23
14000US22071013302,"Census Tract 133.02, Orleans, LA",2124,198,1432,192,449,144,0,12,163,110,0,12,62,60,18,23,0,12,18,23
14000US22071013400,"Census Tract 134, Orleans, LA",2159,267,1241,183,569,184,0,12,214,100,0,12,45,54,90,60,0,12,90,60
14000US22071013500,"Census Tract 135, Orleans, LA",2266,254,2055,261,65,66,13,19,74,53,0,12,12,20,47,73,0,12,47,73
14000US22071013600,"Census Tract 136, Orleans, LA",1029,179,461,120,562,143,0,12,0,12,0,12,0,12,6,13,0,12,6,13
14000US22071013700,"Census Tract 137, Orleans, LA",2184,249,93,72,2086,258,0,12,0,12,0,12,0,12,5,7,0,12,5,7
14000US22071013800,"Census Tract 138, Orleans, LA",1535,222,66,39,1460,222,0,12,0,12,0,12,9,14,0,12,0,12,0,12
14000US22071013900,"Census Tract 139, Orleans, LA",1692,269,774,179,721,198,22,33,47,44,0,12,123,124,5,7,0,12,5,7
14000US22071014000,"Census Tract 140, Orleans, LA",1793,276,173,160,1598,253,5,7,0,12,0,12,0,12,17,24,0,12,17,24
14000US22071014100,"Census Tract 141, Orleans, LA",1915,334,742,238,1148,307,0,12,0,12,0,12,13,27,12,13,6,9,6,9
14000US22071014200,"Census Tract 142, Orleans, LA",1564,211,932,220,613,129,0,12,19,24,0,12,0,12,0,12,0,12,0,12
14000US22071014300,"Census Tract 143, Orleans, LA",1407,271,73,95,1322,261,0,12,1,2,0,12,0,12,11,18,0,12,11,18
14000US22071014400,"Census Tract 144, Orleans, LA",2077,258,875,158,838,234,47,68,0,12,0,12,114,140,203,183,0,12,203,183
14000US22071014500,"Census Tract 145, Orleans, LA",1852,278,486,116,1344,254,0,12,0,12,0,12,4,8,18,19,6,11,12,16
14000US22071980000,"Census Tract 9800, Orleans, LA",3,3,1,2,1,2,0,12,1,2,0,12,0,12,0,12,0,12,0,12
14000US22071980100,"Census Tract 9801, Orleans, LA",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22071990000,"Census Tract 9900, Orleans, LA",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22075050100,"Census Tract 501, Plaquemines, LA",1680,342,560,164,1120,320,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22075050200,"Census Tract 502, Plaquemines, LA",8888,546,7781,605,188,180,121,126,368,231,0,17,306,223,124,99,55,88,69,53
14000US22075050300,"Census Tract 503, Plaquemines, LA",4477,547,3568,409,567,348,13,18,56,48,0,12,62,75,211,164,0,12,211,164
14000US22075050400,"Census Tract 504, Plaquemines, LA",3943,447,2081,228,1649,383,58,61,155,194,0,12,0,12,0,12,0,12,0,12
14000US22075050500,"Census Tract 505, Plaquemines, LA",1453,333,309,138,940,338,90,66,8,14,0,12,0,12,106,87,0,12,106,87
14000US22075050600,"Census Tract 506, Plaquemines, LA",905,212,591,173,263,128,0,12,33,51,0,12,18,35,0,12,0,12,0,12
14000US22075050700,"Census Tract 507, Plaquemines, LA",925,222,783,208,16,24,9,14,62,66,0,12,20,32,35,43,0,12,35,43
14000US22075050800,"Census Tract 508, Plaquemines, LA",1114,253,753,187,184,130,56,50,85,87,0,12,10,14,26,26,0,12,26,26
14000US22075990000,"Census Tract 9900, Plaquemines, LA",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22087030103,"Census Tract 301.03, St. Bernard, LA",4289,369,3363,368,872,305,0,12,0,12,0,12,0,12,54,40,0,12,54,40
14000US22087030104,"Census Tract 301.04, St. Bernard, LA",1762,260,1641,267,27,42,43,57,0,12,0,12,22,35,29,50,0,12,29,50
14000US22087030105,"Census Tract 301.05, St. Bernard, LA",145,50,136,49,9,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22087030203,"Census Tract 302.03, St. Bernard, LA",2695,364,2206,211,158,141,0,12,46,64,0,12,199,269,86,108,65,102,21,32
14000US22087030204,"Census Tract 302.04, St. Bernard, LA",4387,496,1523,379,2720,428,0,12,44,55,0,12,0,12,100,108,7,12,93,102
14000US22087030206,"Census Tract 302.06, St. Bernard, LA",1780,276,1655,269,49,71,0,12,63,66,0,12,0,12,13,22,0,12,13,22
14000US22087030207,"Census Tract 302.07, St. Bernard, LA",3378,368,2703,333,295,178,108,139,193,168,0,12,27,28,52,46,0,12,52,46
14000US22087030208,"Census Tract 302.08, St. Bernard, LA",2865,385,2109,303,270,212,84,86,125,80,0,12,0,12,277,218,0,12,277,218
14000US22087030209,"Census Tract 302.09, St. Bernard, LA",3078,290,2636,278,442,188,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22087030300,"Census Tract 303, St. Bernard, LA",1503,254,1337,243,123,91,8,12,0,12,0,12,0,12,35,30,6,9,29,27
14000US22087030400,"Census Tract 304, St. Bernard, LA",1226,166,1081,139,121,47,0,12,0,12,0,12,0,12,24,31,0,12,24,31
14000US22087030500,"Census Tract 305, St. Bernard, LA",1843,269,1367,323,358,236,0,12,111,96,0,12,7,17,0,12,0,12,0,12
14000US22087030601,"Census Tract 306.01, St. Bernard, LA",1141,313,681,268,319,182,0,12,141,94,0,12,0,12,0,12,0,12,0,12
14000US22087030602,"Census Tract 306.02, St. Bernard, LA",2346,328,1904,332,289,150,0,12,0,12,0,12,112,185,41,33,0,12,41,33
14000US22087030603,"Census Tract 306.03, St. Bernard, LA",1492,235,833,255,652,236,0,12,0,12,0,12,0,12,7,13,0,12,7,13
14000US22087030700,"Census Tract 307, St. Bernard, LA",1470,199,1321,237,137,99,12,18,0,12,0,12,0,12,0,12,0,12,0,12
14000US22087030800,"Census Tract 308, St. Bernard, LA",3450,450,2518,373,659,273,28,33,120,182,0,12,0,12,125,80,0,12,125,80
14000US22087990000,"Census Tract 9900, St. Bernard, LA",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22089060100,"Census Tract 601, St. Charles, LA",2018,227,1545,174,430,117,0,12,10,15,0,12,0,12,33,34,0,12,33,34
14000US22089062100,"Census Tract 621, St. Charles, LA",6025,509,3619,429,2344,469,12,19,14,21,0,17,15,41,21,35,21,35,0,17
14000US22089062200,"Census Tract 622, St. Charles, LA",3307,437,996,128,2214,425,7,12,0,12,0,12,0,12,90,116,80,115,10,13
14000US22089062301,"Census Tract 623.01, St. Charles, LA",6112,508,4874,398,787,383,0,17,215,147,0,17,174,154,62,61,0,17,62,61
14000US22089062302,"Census Tract 623.02, St. Charles, LA",4836,395,3573,295,1144,384,17,23,17,22,0,12,8,14,77,75,32,49,45,52
14000US22089062400,"Census Tract 624, St. Charles, LA",1577,198,1127,157,450,193,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22089062500,"Census Tract 625, St. Charles, LA",3050,189,2840,210,157,116,0,12,10,19,0,12,0,12,43,41,0,12,43,41
14000US22089062700,"Census Tract 627, St. Charles, LA",4708,492,2147,395,2432,441,0,12,0,12,0,12,20,35,109,125,86,118,23,37
14000US22089062800,"Census Tract 628, St. Charles, LA",5137,485,2344,446,2647,542,0,17,0,17,0,17,47,55,99,110,0,17,99,110
14000US22089062900,"Census Tract 629, St. Charles, LA",2377,218,2019,163,285,162,0,12,23,28,7,12,0,12,43,31,0,12,43,31
14000US22089063000,"Census Tract 630, St. Charles, LA",1204,197,841,208,356,146,7,13,0,12,0,12,0,12,0,12,0,12,0,12
14000US22089063100,"Census Tract 631, St. Charles, LA",6979,447,6344,473,354,203,17,26,149,129,0,17,66,75,49,65,0,17,49,65
14000US22089063200,"Census Tract 632, St. Charles, LA",5297,584,4837,517,226,173,0,17,25,34,10,22,0,17,199,131,0,17,199,131
14000US22093040100,"Census Tract 401, St. James, LA",3677,107,2114,323,1537,296,12,19,0,12,0,12,0,12,14,22,0,12,14,22
14000US22093040200,"Census Tract 402, St. James, LA",3447,139,1851,245,1596,228,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22093040300,"Census Tract 403, St. James, LA",3284,247,2702,270,505,149,0,12,77,114,0,12,0,12,0,12,0,12,0,12
14000US22093040400,"Census Tract 404, St. James, LA",2537,294,806,185,1699,310,0,12,12,19,0,12,0,12,20,23,8,16,12,15
14000US22093040500,"Census Tract 405, St. James, LA",2530,287,103,52,2425,289,0,12,0,12,0,12,0,12,2,4,0,12,2,4
14000US22093040600,"Census Tract 406, St. James, LA",2850,356,791,155,2059,373,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22093040700,"Census Tract 407, St. James, LA",3591,262,2370,250,1221,187,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US22095070100,"Census Tract 701, St. John the Baptist, LA",2818,609,1817,253,975,590,0,12,14,27,0,12,12,18,0,12,0,12,0,12
14000US22095070200,"Census Tract 702, St. John the Baptist, LA",7452,690,1137,225,6173,665,0,17,0,17,0,17,12,22,130,172,36,58,94,161
14000US22095070300,"Census Tract 703, St. John the Baptist, LA",6314,571,3929,489,2112,608,0,17,239,196,0,17,0,17,34,55,0,17,34,55
14000US22095070400,"Census Tract 704, St. John the Baptist, LA",4331,374,3008,235,1238,365,14,22,12,29,0,12,23,36,36,41,11,26,25,26
14000US22095070500,"Census Tract 705, St. John the Baptist, LA",5929,711,2142,379,3615,727,0,17,0,17,94,135,20,32,58,72,10,15,48,66
