year,total,white,black,hispanic,asian,american_indian,native_hawaiian,two_or_more
2000,43248,22079,19368,1228,230,100,10,233
2001,43580,21945,19639,1371,266,100,10,249
2002,43878,21822,19983,1424,265,108,12,264
2003,44316,21591,20517,1519,282,110,13,284
2004,44822,21225,21188,1679,281,112,15,322
2005,45296,20951,21693,1868,289,101,21,373
2006,47296,20689,23767,2046,309,105,17,363
2007,47386,19929,24527,2092,301,101,22,414
2008,46811,19254,24522,2184,300,111,21,419
2009,46336,18823,24498,2162,287,116,21,429
2010,45813,18340,24384,2174,290,128,17,480
2011,45082,17823,24075,2236,355,114,45,434
2012,44753,17492,24036,2270,341,115,66,433
2013,43619,16759,23661,2261,319,118,80,421
2014,43745,16469,23911,2370,336,124,95,440
