year,total,white,black,hispanic,asian,american_indian,native_hawaiian,two_or_more
2000,26758,18537,6228,434,727,567,3,262
2001,27029,18627,6256,558,761,545,3,279
2002,27462,18859,6275,616,867,537,9,299
2003,28169,19369,6376,725,846,515,11,327
2004,29390,20256,6523,839,894,508,8,362
2005,29558,20403,6479,916,886,474,15,385
2006,22329,15404,4638,811,666,423,14,373
2007,22709,15560,4848,847,643,395,12,404
2008,22677,15545,4699,953,650,381,17,432
2009,22730,15373,4754,1057,684,391,16,455
2010,23106,15731,4739,1068,722,357,11,478
2011,23639,15911,4772,1241,814,366,20,515
2012,23901,16056,4782,1358,835,360,17,493
2013,23620,15787,4672,1452,841,339,17,512
2014,23447,15495,4680,1512,875,332,23,530
