year,total,white,black,hispanic,asian,american_indian,native_hawaiian,two_or_more
2000,48118,33960,12104,1348,281,119,4,302
2001,48461,33848,12323,1490,336,136,4,324
2002,49117,33944,12644,1662,346,148,6,367
2003,49338,34045,12615,1771,375,139,6,387
2004,49939,34404,12698,1884,394,140,11,408
2005,50670,34650,12991,2018,388,147,12,464
2006,52453,35312,13838,2236,424,147,12,484
2007,52765,35110,14194,2382,414,150,13,502
2008,52516,34863,14139,2445,402,151,15,501
2009,52719,34944,14099,2535,423,160,18,540
2010,52771,34940,13967,2658,438,161,18,589
2011,52407,34671,13770,2708,467,171,20,600
2012,52437,34622,13704,2859,473,170,19,590
2013,52622,34619,13700,2982,509,182,21,609
2014,52745,34577,13733,3094,504,186,21,630
